,TMAX,TMAX,TMAX,TMAX,TMAX,TMAX,TMAX,TMAX,PRCP,PRCP,PRCP,PRCP,PRCP,PRCP,PRCP,PRCP,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,1. open,1. open,1. open,1. open,1. open,1. open,1. open,1. open,4. close,4. close,4. close,4. close,4. close,4. close,4. close,4. close,5. volume,5. volume,5. volume,5. volume,5. volume,5. volume,5. volume,5. volume
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-31,19.0,3.9000000000000004,4.640282558446438,-5.0,0.8500000000000001,3.9,6.15,13.9,19.0,1.8631578947368421,7.273483845548982,0.0,0.0,0.0,0.0,31.8,19.0,2.526315789473684,8.140218540969084,0.0,0.0,0.0,0.0,33.0,19.0,10.089978947368422,0.3591347744215678,9.39,9.955,10.05,10.32,10.73,19.0,10.074105263157895,0.3955842226289899,9.31,9.879999999999999,10.09,10.335,10.83,19.0,34922020.84210526,10780498.549050014,20087084.0,27248300.5,33375118.0,41183702.5,57940801.0
2010-02-28,19.0,3.1105263157894742,1.9516075245357507,0.6,1.7,2.8,4.15,7.2,19.0,8.921052631578945,15.384211926783482,0.0,0.0,0.0,10.8,50.8,19.0,49.31578947368421,99.23208073981525,0.0,0.0,0.0,12.5,292.0,19.0,9.481594736842105,0.4976621884970257,8.73,8.96,9.68,9.825,10.15,19.0,9.411052631578947,0.48878414614272014,8.53,8.94,9.62,9.815000000000001,10.0,19.0,25315696.684210528,6754471.144172478,13983289.0,21646287.5,25279105.0,27496585.0,40661589.0
2010-03-31,23.0,12.830434782608695,4.605178387879206,5.0,9.15,11.7,16.1,22.2,23.0,6.904347826086957,16.038745084124187,0.0,0.0,0.0,3.2,62.2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.762173913043478,0.5619928543846857,6.9,7.324999999999999,7.82,8.18,8.66,23.0,7.739999999999999,0.5433063759811937,6.91,7.335,7.77,8.225,8.65,23.0,24740640.260869566,9824126.482922615,11349239.0,19349707.5,22375238.0,27881435.0,51972305.0
2010-04-30,21.0,20.290476190476195,5.241937119224606,11.7,17.2,20.6,22.8,33.3,21.0,1.6714285714285713,4.3016442039228275,0.0,0.0,0.0,0.0,17.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.255714285714287,0.2256451069394465,6.83,7.07,7.25,7.46,7.59,21.0,7.260952380952382,0.24062220932209802,6.86,7.08,7.18,7.47,7.66,21.0,31871594.61904762,13620281.685700845,16259061.0,23184953.0,28611452.0,36922905.0,80613870.0
2010-05-31,20.0,23.000000000000004,6.05779185060556,8.9,19.0,24.450000000000003,26.825,33.3,20.0,3.7749999999999995,9.407324973545599,0.0,0.0,0.0,0.8500000000000001,32.8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.235750000000001,0.2497118075744622,6.9,7.01,7.2125,7.422499999999999,7.75,20.0,7.219665000000002,0.23474961414687184,6.812,7.024825,7.215,7.433,7.63,20.0,27185173.1,8557980.9052545,14946532.0,22167254.0,23847189.5,33322251.25,45144685.0
2010-06-30,22.0,27.936363636363637,4.111950696219317,20.0,23.9,29.7,30.6,33.9,22.0,2.1772727272727272,5.45622683320729,0.0,0.0,0.0,0.22499999999999998,22.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.157727272727273,0.3862263315994641,7.32,8.022499999999999,8.155000000000001,8.375,8.72,22.0,8.182272727272725,0.3205491095007622,7.55,7.994999999999999,8.16,8.377500000000001,8.83,22.0,28597777.681818184,13276267.767605167,13775910.0,19249116.75,26989874.0,32433767.0,68759164.0
2010-07-31,21.0,31.67142857142857,3.388678629959302,25.0,30.6,31.7,33.3,39.4,21.0,2.7190476190476187,6.185516877967358,0.0,0.0,0.0,0.5,21.3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.75452380952381,0.2878537161559008,7.28,7.57,7.72,8.065,8.22,21.0,7.707619047619046,0.2462499697848663,7.28,7.58,7.74,7.87,8.26,21.0,18496047.476190478,7520153.418777695,10018862.0,12725260.0,15325694.0,22172191.0,37462907.0
2010-08-31,22.0,29.84545454545454,4.622793143784009,20.6,27.8,31.1,33.175,35.6,22.0,2.645454545454545,7.614880624567068,0.0,0.0,0.0,0.375,26.7,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0879545454545445,0.5356452697246143,6.26,6.695,7.1,7.32,8.03,22.0,7.04077272727273,0.5060007464532591,6.24,6.6225,7.125,7.2875000000000005,7.95,22.0,18949670.181818184,9527145.49523052,8944366.0,11677504.25,15525434.5,23899904.5,46705592.0
2010-09-30,21.0,26.261904761904763,4.494382737426374,21.1,22.8,24.4,29.4,35.6,21.0,4.257142857142857,9.405560665296429,0.0,0.0,0.0,3.0,33.8,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.463333333333334,0.18919126124991445,6.1,6.32,6.44,6.62,6.78,21.0,6.455119047619046,0.17546537441628643,6.0695,6.34,6.46,6.58,6.749,21.0,20949477.904761903,7351595.271681528,10990971.0,15049610.0,19512694.0,25234011.0,37873386.0
2010-10-31,21.0,18.499999999999996,4.122499241964757,11.7,15.0,17.8,22.8,23.9,21.0,5.904761904761904,14.73307422741351,0.0,0.0,0.0,2.3,62.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.695714285714286,0.24044898478827953,5.27,5.52,5.71,5.82,6.09,21.0,5.685047619047619,0.2286305373720834,5.329,5.52,5.679,5.83,6.1795,21.0,27160055.14285714,10355442.341340829,13248663.0,19804614.0,25764287.0,31562953.0,58212067.0
2010-11-30,21.0,12.433333333333334,2.896607210743862,7.2,10.0,12.2,13.9,18.3,21.0,2.5285714285714285,6.386950982835461,0.0,0.0,0.0,1.3,27.7,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.775957142857143,0.2021244383329947,5.46,5.61,5.8,5.95,6.13,21.0,5.785309523809524,0.1987300603954065,5.51,5.59,5.78,5.9315,6.08,21.0,23682852.61904762,7028287.269798044,7736173.0,19280025.0,23166309.0,27866975.0,37239041.0
2010-12-31,22.0,2.8227272727272723,4.333472358742199,-5.0,1.25,2.8,4.125,15.6,22.0,2.0454545454545454,6.947197261021869,0.0,0.0,0.0,0.0,30.5,22.0,9.136363636363637,42.188122289782726,0.0,0.0,0.0,0.0,198.0,22.0,5.893409090909092,0.24374746085923565,5.53,5.66875,5.92,6.1,6.27,22.0,5.8918409090909085,0.22958650130198546,5.538,5.68,5.875,6.0575,6.31,22.0,27483318.272727273,10207788.878090486,14885254.0,22727965.5,26211563.5,29191703.0,59209948.0
2011-01-31,20.0,1.2249999999999999,2.356821007874356,-4.4,-0.6,1.4,2.35,5.0,20.0,6.245,10.61436340655038,0.0,0.0,0.0,7.4,32.8,20.0,45.65,82.37096767544664,0.0,0.0,0.0,51.25,312.0,20.0,6.102005,0.15887525883038253,5.89,5.995,6.08,6.18,6.4301,20.0,6.087574999999999,0.14928481036348987,5.88,5.9875,6.0912500000000005,6.1572499999999994,6.395,20.0,24452027.8,8292871.187926058,15236625.0,17835488.5,21250689.5,28547687.5,41448198.0
2011-02-28,19.0,6.394736842105263,6.667872697929188,-1.7,1.6500000000000001,4.4,11.4,19.4,19.0,3.905263157894737,8.542929089422467,0.0,0.0,0.0,3.05,33.5,19.0,2.1578947368421053,6.930313107362602,0.0,0.0,0.0,0.0,28.0,19.0,5.443947368421052,0.27049634905817327,5.16,5.27,5.33,5.525,6.06,19.0,5.424868421052632,0.24885486857611433,5.175,5.234999999999999,5.3575,5.51525,5.9905,19.0,22264895.47368421,8290855.051803833,10846789.0,17182804.0,21627426.0,26675927.0,43913995.0
2011-03-31,23.0,9.495652173913042,5.01583658035133,0.6,6.95,8.3,11.7,25.0,23.0,4.595652173913043,8.590294643103691,0.0,0.0,0.0,2.8,27.2,23.0,1.0869565217391304,5.212860351426869,0.0,0.0,0.0,0.0,25.0,23.0,9.743695652173912,2.5319397062112934,5.03,10.285,10.76,11.345,11.71,23.0,9.767456521739133,2.5396484004727338,5.05,10.31075,11.09,11.344999999999999,11.8,23.0,19799224.04347826,5715436.146004674,11810610.0,15798312.5,19359371.0,23099419.0,32676774.0
2011-04-30,20.0,17.66,6.125391501988389,6.7,12.525000000000002,17.75,22.2,28.3,20.0,2.955,6.470782511859712,0.0,0.0,0.0,2.75,27.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.143999999999998,0.3795482078804524,10.55,10.8275,11.085,11.434999999999999,12.04,20.0,11.187324999999998,0.44699724110181205,10.58,10.833750000000002,11.120000000000001,11.4475,12.11,20.0,13554268.45,5188955.601131285,7362370.0,9462969.0,12267219.5,16936892.5,26292544.0
2011-05-31,21.0,22.09047619047619,4.445773809125332,15.6,18.3,21.7,23.9,31.7,21.0,4.666666666666667,12.498133193934738,0.0,0.0,0.0,2.5,55.4,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.173809523809524,0.42851459940679004,10.63,10.9,11.09,11.38,12.12,21.0,11.146714285714285,0.3983644239709593,10.57,10.83,11.01,11.22,12.05,21.0,14399386.095238095,6746287.202711265,5127968.0,10857120.0,13427561.0,17381499.0,38169433.0
2011-06-30,22.0,27.449999999999992,3.7427708096186354,21.1,24.974999999999998,27.8,28.749999999999996,35.0,22.0,3.063636363636363,9.838289894689426,0.0,0.0,0.0,1.3,46.2,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.452727272727275,0.6104735228311888,10.65,10.91,11.44,11.975,12.51,22.0,11.42,0.5694692600090352,10.71,10.945,11.219999999999999,11.9175,12.32,22.0,14455745.0,7389567.12422098,6830040.0,9766628.5,12709526.5,16232119.25,37405476.0
2011-07-31,20.0,31.700000000000006,3.138722502447201,26.7,29.275,31.15,33.449999999999996,40.0,20.0,2.745,6.482159727810022,0.0,0.0,0.0,2.8,27.4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.991750000000001,0.2659900819282751,10.47,10.8475,11.004999999999999,11.227500000000001,11.43,20.0,10.9315,0.2900503586040117,10.49,10.689999999999998,10.965,11.05,11.44,20.0,11713734.8,4252044.968682686,4664234.0,8767462.5,10925339.5,14807489.25,21413163.0
2011-08-31,23.0,28.526086956521734,2.571207249400092,25.0,26.4,28.3,30.0,34.4,23.0,5.7956521739130435,13.092207198485033,0.0,0.0,0.0,1.15,53.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,10.017865217391302,0.23935139555339896,9.67,9.86,9.97,10.105,10.54,23.0,10.02782608695652,0.21444869108185163,9.67,9.885000000000002,9.97,10.17,10.49,23.0,9617448.086956521,3232634.8310019197,4996101.0,6817048.0,9462467.0,11407974.5,17878153.0
2011-09-30,21.0,24.471428571428575,3.1376970626787495,18.3,22.8,24.4,26.7,29.4,21.0,11.347619047619048,22.698515789531676,0.0,0.0,0.5,10.2,81.8,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.61642857142857,0.32773519362872394,8.92,9.37,9.6,9.86,10.105,21.0,9.588333333333333,0.3574959207226474,8.87,9.28,9.67,9.87,10.16,21.0,8655123.952380951,2766668.2762385425,5106696.0,6482147.0,8057718.0,10541168.0,15225870.0
2011-10-31,21.0,17.771428571428572,3.8844745921608053,9.4,16.1,17.2,19.4,27.2,21.0,4.390476190476191,8.75887577043451,0.0,0.0,0.0,1.3,28.4,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.784285714285716,0.11051341224355632,8.62,8.68,8.79,8.87,8.94,21.0,8.790857142857144,0.14102456726197932,8.56,8.69,8.765,8.84,9.03,21.0,8376943.095238095,3305017.5730852163,4800201.0,5742633.0,7484595.0,10845856.0,17365350.0
2011-11-30,21.0,14.952380952380954,4.0121838252526585,7.8,11.7,15.0,18.3,21.1,21.0,3.685714285714286,7.805337001967674,0.0,0.0,0.0,1.8,29.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.113333333333335,0.3394603560555095,7.72,7.85,7.94,8.44,8.77,21.0,8.11952380952381,0.34697948340609697,7.67,7.85,8.0,8.4,8.71,21.0,10608798.761904761,3507618.4494071747,2916816.0,7906639.0,11586142.0,12301664.0,16091233.0
2011-12-31,21.0,11.34761904761905,3.740670935489922,3.3,8.9,10.6,15.0,16.7,21.0,4.833333333333333,11.003014738394807,0.0,0.0,0.0,2.8,42.7,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.084761904761905,0.4025371914198618,6.49,6.8,6.97,7.43,7.94,21.0,7.061428571428572,0.41016198890542876,6.46,6.83,6.91,7.35,7.91,21.0,10697295.19047619,4247471.450243187,4784578.0,7383846.0,9604209.0,12179811.0,19275423.0
2012-01-31,20.0,7.5550000000000015,4.886229307155494,-2.8,4.4,7.75,11.7,15.0,20.0,3.4949999999999997,8.1770201109412,0.0,0.0,0.0,2.875,35.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.808249999999999,0.5073545293195407,5.07,5.445,5.702500000000001,6.22,6.57,20.0,5.77625,0.5314995543890788,5.03,5.3675,5.654999999999999,6.09,6.72,20.0,29044579.3,12191016.603291672,10808450.0,18254129.25,27993814.0,33349850.25,55322512.0
2012-02-29,20.0,9.285,3.417951833604755,3.3,7.075,8.05,10.15,16.7,20.0,1.605,3.9244811926647,0.0,0.0,0.0,0.575,15.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.846504999999999,7.746615232710212,5.0901,5.28,5.44,20.18,22.33,20.0,10.785250000000001,7.630857624940022,5.18,5.2775,5.4325,20.21,22.16,20.0,20772395.25,10072100.905035539,9222371.0,12846972.25,18490031.5,23978295.5,44890484.0
2012-03-31,22.0,16.168181818181818,6.676496540896736,5.0,10.725,17.25,21.7,25.6,22.0,0.5909090909090909,1.195192389736836,0.0,0.0,0.0,0.5,4.1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.930909090909086,0.8690109818524084,15.77,17.575,18.175,18.2875,19.69,22.0,17.8875,0.903598296231451,15.92,17.4775,18.17,18.4075,19.6,22.0,9873762.772727273,2979636.8845698684,6442742.0,7608788.25,8942808.5,11303643.75,18161727.0
2012-04-30,20.0,17.59,4.620993285795644,11.7,14.85,16.7,18.725,31.1,20.0,0.485,1.2646093634420326,0.0,0.0,0.0,0.425,5.6,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.354999999999999,0.6380191384689269,14.36,14.935,15.274999999999999,15.820000000000002,16.61,20.0,15.340499999999997,0.7208728262175979,14.25,14.88,15.185,15.78,16.9,20.0,9273953.5,4984096.773266626,3680190.0,5579064.5,7961993.0,12013184.5,22585469.0
2012-05-31,22.0,20.936363636363634,4.256260985390531,11.7,18.450000000000003,20.85,23.624999999999996,31.7,22.0,6.113636363636363,9.192040835343082,0.0,0.075,2.15,7.750000000000001,35.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.732727272727274,1.0117508719244213,16.35,16.73,17.725,18.580000000000002,19.41,22.0,17.762045454545458,1.0589962218230518,16.18,16.82,17.645,18.8075,19.43,22.0,11968888.863636363,3992166.875092037,5509951.0,10291793.5,12015731.0,14402559.5,21785632.0
2012-06-30,21.0,25.65238095238095,5.089952754949602,17.2,22.2,25.0,27.2,34.4,21.0,3.0428571428571423,6.025410478014872,0.0,0.0,0.0,4.6,25.9,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.383809523809525,1.323708714900964,15.37,16.62,17.45,18.66,19.91,21.0,17.46524285714286,1.3477469749813684,15.2471,16.84,17.53,18.47,19.295,21.0,12682624.333333334,6702434.606554929,5847717.0,8045052.0,9383292.0,16767788.0,27596153.0
2012-07-31,21.0,30.747619047619054,3.604250136660751,22.2,29.4,31.1,32.8,37.8,21.0,3.7571428571428576,10.400652452061431,0.0,0.0,0.0,0.0,44.7,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,20.245714285714286,0.9818481116169215,18.99,19.38,20.07,21.12,21.91,21.0,20.31845238095238,1.0420336115591702,18.72,19.58,20.12,21.14,22.04,21.0,13850928.761904761,8147738.208202157,5527497.0,9704056.0,12170560.0,14792708.0,40833476.0
2012-08-31,23.0,28.87391304347826,2.0878909304725197,25.6,27.5,29.4,30.6,32.8,23.0,2.626086956521739,5.318767576943873,0.0,0.0,0.0,1.95,16.3,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,19.14130434782609,0.7606355258348476,17.8,18.744999999999997,19.09,19.535,21.21,23.0,19.071130434782606,0.7099301056728834,17.69,18.645,19.01,19.5975,20.3,23.0,10605659.47826087,4040066.3602716965,3937099.0,7131080.0,10974440.0,13192412.5,17835431.0
2012-09-30,19.0,24.34210526315789,2.908095174484434,19.4,22.2,23.9,26.7,30.6,19.0,5.042105263157895,14.028317226614401,0.0,0.0,0.0,0.9,49.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.69263157894737,0.9471585700003702,18.11,19.22,19.65,20.065,21.98,19.0,19.843736842105262,1.0376933737919385,18.12,19.075499999999998,19.72,20.43,22.33,19.0,10762716.421052631,4142597.408011338,5279609.0,7918809.5,9845356.0,12896042.0,22157462.0
2012-10-31,21.0,17.857142857142854,3.8704743157100823,10.0,15.0,18.3,20.6,25.6,21.0,2.176190476190476,5.356015754448895,0.0,0.0,0.0,0.8,22.6,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.27452380952381,0.4374868705512905,21.57,22.05,22.28,22.455,23.12,21.0,22.33072857142857,0.48624941865554694,21.64,21.935,22.21,22.6,23.35,21.0,9119943.523809524,3512383.5902171424,3579793.0,5997797.0,8443832.0,12061691.0,15140482.0
2012-11-30,21.0,9.376190476190477,3.6993113902326145,5.0,7.2,8.3,11.7,18.9,21.0,2.1904761904761902,6.692077761196801,0.0,0.0,0.0,0.0,28.4,21.0,5.666666666666667,23.77673933350268,0.0,0.0,0.0,0.0,109.0,21.0,21.540952380952383,0.6492064753366584,20.42,20.96,21.67,22.08,22.72,21.0,21.576190476190476,0.7887868925792073,20.39,20.97,21.72,22.14,22.99,21.0,6350212.666666667,3007460.555988579,2035305.0,4142733.0,5182063.0,8362143.0,14152557.0
2012-12-31,20.0,8.880000000000003,4.654211448841395,2.8,4.4,8.05,13.575000000000001,16.7,20.0,4.450000000000001,7.411335556891356,0.0,0.0,0.65,4.550000000000001,25.1,20.0,0.5,2.23606797749979,0.0,0.0,0.0,0.0,10.0,20.0,19.483494999999998,0.6989450588113795,18.22,19.0825,19.355,19.72,20.94,20.0,19.459715,0.6676520424316533,18.24,19.0575,19.33,19.62,21.0,20.0,9308334.9,2888603.9413685435,4949597.0,7099094.5,8710214.0,11376717.75,15621170.0
2013-01-31,21.0,4.542857142857143,6.482790404491836,-6.7,0.6,3.3,8.9,16.1,21.0,3.314285714285714,6.512010881001791,0.0,0.0,0.0,2.3,22.9,21.0,1.8095238095238095,8.29227982896771,0.0,0.0,0.0,0.0,38.0,21.0,18.85380952380952,0.7254617577135007,17.67,18.33,18.79,19.34,20.1,21.0,18.882619047619045,0.7310362833806867,17.57,18.4,18.76,19.52,20.1,21.0,8190910.571428572,3278141.388112715,4304399.0,5582258.0,7590202.0,8970214.0,15295764.0
2013-02-28,19.0,4.968421052631578,4.113669979684125,-1.1,1.1,6.7,7.5,12.8,19.0,4.731578947368422,10.998689448777217,0.0,0.0,0.0,2.2,39.6,19.0,8.947368421052632,36.65071423316561,0.0,0.0,0.0,0.0,160.0,19.0,18.634736842105266,0.4399415165811198,17.89,18.29,18.51,19.02,19.34,19.0,18.591105263157896,0.45788631470375074,17.78,18.310000000000002,18.52,19.025,19.36,19.0,5230674.7894736845,2583639.7017215537,2428583.0,3358425.0,4106038.0,6993555.0,11615063.0
2013-03-31,20.0,7.5,3.4114358761146457,1.7,5.0,6.65,10.725,13.9,20.0,3.425,6.298193141060796,0.0,0.0,0.0,4.425,20.1,20.0,8.9,27.716421125390617,0.0,0.0,0.0,0.0,102.0,20.0,20.822000000000006,1.0352858745801872,19.25,19.8125,21.33,21.695,22.04,20.0,20.85,0.9849018118306861,19.18,20.005,21.185000000000002,21.655,22.24,20.0,5115821.0,1901870.1110362262,2275277.0,3999725.25,4908142.0,6070496.25,9093487.0
2013-04-30,22.0,16.62727272727272,5.502049991826148,6.1,13.075000000000001,16.95,20.450000000000003,27.8,22.0,1.4318181818181819,4.184368458195262,0.0,0.0,0.0,0.22499999999999998,16.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.718636363636364,0.7020398540752202,21.37,22.27,22.715,23.2725,23.8,22.0,22.740909090909096,0.7498438509888583,21.26,22.317500000000003,22.755000000000003,23.197499999999998,24.03,22.0,5677365.0,2433312.3509891382,3040230.0,3554575.0,5532599.0,6873577.25,12812437.0
